Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites
x903,0,45.0,0
h124,0,45.0,0
p849,0,45.0,0
l726,0,45.0,0
a960,0,45.0,0
x144,0,45.0,0
u540,0,45.0,0
l980,0,45.0,0
i436,0,45.0,0
z671,0,45.0,0
f178,0,45.0,0
a375,0,45.0,0
n451,0,45.0,0
c965,0,45.0,0
d332,0,45.0,0
q500,0,45.0,0
y531,0,45.0,0
f129,0,45.0,0
l451,0,45.0,0
e446,0,45.0,0
n939,0,45.0,0
f195,0,45.0,0
o973,0,45.0,0
w680,0,45.0,0
w976,0,45.0,0
p368,0,45.0,0
i491,0,45.0,0
z435,0,45.0,0
p370,0,45.0,0
r677,0,45.0,0
v596,0,45.0,0
q759,0,45.0,0
q882,0,45.0,0
f829,0,45.0,0
d770,0,45.0,0
q477,0,45.0,0
r357,0,45.0,0
i491,0,45.0,0
r765,0,45.0,0
o896,0,45.0,0
h749,0,45.0,0
c593,0,45.0,0
i617,0,45.0,0
t548,0,45.0,0
o573,0,45.0,0
g564,0,45.0,0
d269,0,45.0,0
i426,0,45.0,0
c160,0,45.0,0
l127,0,45.0,0
s654,0,45.0,0
w658,0,45.0,0
i583,0,45.0,0
l263,0,45.0,0
d824,0,45.0,0
n115,0,45.0,0
v490,0,45.0,0
o231,0,45.0,0
s882,0,45.0,0
g727,0,45.0,0
i131,0,45.0,0
i162,0,45.0,0
n204,0,45.0,0
s231,0,45.0,0
z881,0,45.0,0
b131,0,45.0,0
a906,0,45.0,0
e316,0,45.0,0
k944,0,45.0,0
d736,0,45.0,0
l868,0,45.0,0
x877,0,45.0,0
x736,0,45.0,0
e733,0,45.0,0
s473,0,45.0,0
u367,0,45.0,0
v585,0,45.0,0
e925,0,45.0,0
z487,0,45.0,0
t383,0,45.0,0
h491,0,45.0,0
w286,0,45.0,0
o891,0,45.0,0
p734,0,45.0,0
m853,0,45.0,0
y735,0,45.0,0
f971,0,45.0,0
l497,0,45.0,0
d141,0,45.0,0
u732,0,45.0,0
e882,0,45.0,0
n100,0,45.0,0
m272,0,45.0,0
x856,0,45.0,0
e742,0,45.0,0
t982,0,45.0,0
t883,0,45.0,0
r846,0,45.0,0
v747,0,45.0,0
g319,0,45.0,0
n872,0,45.0,0
a885,0,45.0,0
h162,0,45.0,0
w863,0,45.0,0
o252,0,45.0,0
i799,0,45.0,0
e460,0,45.0,0
a391,0,45.0,0
l795,0,45.0,0
i783,0,45.0,0
m285,0,45.0,0
m904,0,45.0,0
a817,0,45.0,0
i908,0,45.0,0
g787,0,45.0,0
s886,0,45.0,0
t419,0,45.0,0
z991,0,45.0,0
y351,0,45.0,0
i842,0,45.0,0
j128,0,45.0,0
y441,0,45.0,0
y633,0,45.0,0
d329,0,45.0,0
k405,0,45.0,0
r465,0,45.0,0
b853,0,45.0,0
e807,0,45.0,0
b461,0,45.0,0
x493,0,45.0,0
j396,0,45.0,0
m359,0,45.0,0
m894,0,45.0,0
v871,0,45.0,0
d587,0,45.0,0
m137,0,45.0,0
j993,0,45.0,0
x811,0,45.0,0
q487,0,45.0,0
i610,0,45.0,0
c118,0,45.0,0
o713,0,45.0,0
d581,0,45.0,0
g727,0,45.0,0
o836,0,45.0,0
b998,0,45.0,0
b386,0,45.0,0
g832,0,45.0,0
e358,0,45.0,0
z167,0,45.0,0
v921,0,45.0,0
p863,0,45.0,0
p760,0,45.0,0
y369,0,45.0,0
w833,0,45.0,0
r619,0,45.0,0
a898,0,45.0,0
q588,0,45.0,0
r111,0,45.0,0
g284,0,45.0,0
y977,0,45.0,0
e885,0,45.0,0
k308,0,45.0,0
d203,0,45.0,0
q290,0,45.0,0
d497,0,45.0,0
a538,0,45.0,0
m672,0,45.0,0
u683,0,45.0,0
h920,0,45.0,0
c760,0,45.0,0
y860,0,45.0,0
w860,0,45.0,0
k465,0,45.0,0
e141,0,45.0,0
f807,0,45.0,0
p407,0,45.0,0
r534,0,45.0,0
y595,0,45.0,0
a831,0,45.0,0
q362,0,45.0,0
u964,0,45.0,0
t208,0,45.0,0
n440,0,45.0,0
q131,0,45.0,0
m494,0,45.0,0
z701,0,45.0,0
w901,0,45.0,0
c577,0,45.0,0
e681,0,45.0,0
x669,0,45.0,0
k294,0,45.0,0
p237,0,45.0,0
q747,0,45.0,0
g305,0,45.0,0
o388,0,45.0,0
a333,0,45.0,0
t171,0,45.0,0
u867,0,45.0,0
x672,0,45.0,0
p642,0,45.0,0
q881,0,45.0,0
o251,0,45.0,0
v933,0,45.0,0
w581,0,45.0,0
n806,0,45.0,0
g185,0,45.0,0
i365,0,45.0,0
e874,0,45.0,0
j640,0,45.0,0
f936,0,45.0,0
z905,0,45.0,0
w900,0,45.0,0
d791,0,45.0,0
a626,0,45.0,0
v547,0,45.0,0
n234,0,45.0,0
n712,0,45.0,0
e903,0,45.0,0
q300,0,45.0,0
g494,0,45.0,0
y675,0,45.0,0
q154,0,45.0,0
q278,0,45.0,0
x276,0,45.0,0
y587,0,45.0,0
j402,0,45.0,0
k443,0,45.0,0
u452,0,45.0,0
h413,0,45.0,0
r431,0,45.0,0
o147,0,45.0,0
n196,0,45.0,0
q335,0,45.0,0
i419,0,45.0,0
g863,0,45.0,0
g619,0,45.0,0
w929,0,45.0,0
a189,0,45.0,0
l986,0,45.0,0
l183,0,45.0,0
e905,0,45.0,0
p298,0,45.0,0
y214,0,45.0,0
u861,0,45.0,0
n125,0,45.0,0
n989,0,45.0,0
u281,0,45.0,0
j793,0,45.0,0
w724,0,45.0,0
c160,5,48.178080781342324,0
a831,5,45.89740329103538,0
t208,5,47.06136072355446,1
k443,5,40.314467427254,0
o573,5,45.88869493532989,0
z435,5,48.61640763350336,1
s654,5,49.24042097418932,1
g564,5,48.06282572505371,0
l127,5,47.248620525104634,0
u964,5,45.717493994254774,0
t548,5,47.99461607197582,0
d269,5,48.70109497341497,1
i426,5,46.58748372547259,1
n712,5,46.45158783811306,0
q362,5,46.12699616738132,0
s473,5,49.45713714267394,0
i617,5,46.19978678074899,0
o251,5,45.84528893019545,0
l795,5,45.913830575321136,1
x856,5,47.75568680972091,1
p370,5,46.15008850587367,1
r677,5,45.70852495280335,0
z701,5,46.0672329389214,1
v596,5,46.15534789096837,0
n125,5,45.60486617549712,0
q882,5,46.113913130925354,1
w658,5,46.311074568689925,0
m494,5,47.07378052050701,0
q154,5,45.50023111219013,1
d770,5,47.32629929166677,1
r357,5,48.137573240422796,0
h749,5,47.31162286248313,1
j402,5,48.98715238857517,0
q131,5,46.202715822354456,1
e905,5,45.557841826890865,1
c593,5,47.723909892190576,1
a960,5,47.83426523362944,0
i419,5,43.69195987770204,0
i583,5,46.41493599756849,1
l263,5,46.91216356459332,0
d824,5,46.68412184534214,0
o891,5,48.634808355250605,0
p734,5,45.46253423862585,0
l183,5,45.658029898981304,0
m853,5,46.56065411948305,1
y735,5,45.71924296046195,1
f971,5,48.320905170616385,1
l497,5,45.64849417235543,0
p368,5,45.896117194151806,0
n989,5,45.46745084562544,0
e882,5,49.331607711063015,0
n100,5,46.28683465856601,0
m272,5,46.27120231293202,1
e742,5,46.087027738268056,0
t982,5,45.47363631199907,0
t883,5,45.56324383420448,0
r846,5,46.94974284818231,0
y214,5,45.664974418653784,1
v747,5,48.77839204361236,0
g319,5,45.758682976277086,1
u732,5,45.929736074411856,0
w680,5,45.5768374699005,0
q278,5,44.29178533677333,0
o973,5,47.402921393568654,1
w976,5,47.77182655835873,0
h124,5,48.70126897682121,0
p849,5,47.92525296120953,1
l726,5,46.48682968601562,0
y595,5,49.02237969525997,0
x144,5,47.16647653583812,0
u540,5,47.21019173178417,1
l980,5,46.96208002346843,0
z671,5,46.53332116183445,0
q335,5,45.58515014981317,1
i436,5,46.36418599262814,0
f178,5,47.40078740364068,1
a375,5,46.284263855227316,1
n451,5,45.94745633270462,0
u452,5,45.83419014245482,0
c965,5,49.30693364426709,0
d332,5,48.65911053940297,0
y531,5,49.432944601008465,1
l451,5,46.10862830303936,0
q500,5,46.352504754248876,1
e446,5,46.41912893112987,0
n939,5,48.132659662850294,0
f195,5,45.77885083706941,0
i491,5,46.45790497018367,1
f807,5,47.70283463760427,0
c760,5,45.769524698087544,0
j793,5,45.72955490894712,0
m137,5,47.6787596914888,1
m904,5,45.65094558499551,0
a817,5,48.91410233871921,1
i908,5,47.97501238844087,0
a189,5,38.854192117768605,0
s886,5,46.373774323563595,1
t419,5,45.570795375387604,0
z991,5,45.94632650743926,1
g787,5,47.16369218739829,0
y351,5,46.51393074829535,0
m285,5,48.28105803494288,0
y587,5,38.40349493590337,0
y441,5,45.97005167016201,0
j128,5,46.574949905547065,1
y633,5,46.23633401413269,1
d329,5,47.51072917473105,0
k405,5,46.59976040634633,1
r465,5,47.23668926075627,0
o147,5,48.58276722768834,0
b853,5,45.49565262569918,0
e807,5,46.949310990852,0
n196,5,45.501931448055856,0
i842,5,46.186660670947624,0
v871,5,49.20633585382902,1
y977,5,46.860024634072786,0
j993,5,45.983056566553614,0
x811,5,49.31427842735235,0
x903,5,45.72224014120695,0
q487,5,47.09699122126652,0
o713,5,45.955965436172846,0
d581,5,46.54642112838929,0
g727,5,48.82425388042442,0
o836,5,46.97636654454448,0
b998,5,48.909546997836436,0
g832,5,46.78710105968618,0
u281,5,40.90971657350862,0
b386,5,48.85434283166832,0
e358,5,47.01494110157108,0
z167,5,46.42820089469025,1
v921,5,45.68717803838422,0
p863,5,46.35311736690842,0
p760,5,48.90347282125777,1
y369,5,47.63434157969602,1
w833,5,47.772248051858966,1
r619,5,49.41370949728155,0
a898,5,45.916375316565656,1
q588,5,47.93408180138809,0
w929,5,45.73679081192147,0
g284,5,46.89586290285011,1
x493,5,47.45208830561005,1
j396,5,46.474973705690076,0
b461,5,48.82027042156488,0
m359,5,47.308562085994595,0
f936,5,47.53821693572824,0
z905,5,49.26032533976141,0
x276,5,45.70544931586141,0
w900,5,45.77485006072119,0
d791,5,48.86203217950877,1
a626,5,45.76265890514751,0
g619,5,39.25428800609748,0
x669,5,46.52750752702123,0
e681,5,46.527581674778226,1
c577,5,45.56944501843366,0
w901,5,49.462631273327375,0
q290,5,47.37166888140343,0
d497,5,49.20449520672292,1
a538,5,48.94602076145407,0
m672,5,46.31937609768982,0
u683,5,49.06677224549223,0
h920,5,46.78800650413284,1
u861,5,42.95463416623701,0
a885,5,46.744948500663085,0
y860,5,47.16920545080873,0
w860,5,46.19500849619387,1
k465,5,45.50101338476668,1
e141,5,47.744124085485176,0
j640,5,45.88603745949583,1
p407,5,46.41814186281675,1
i365,5,45.646604399055626,0
n806,5,47.2131145482981,1
m894,5,46.39443533461987,0
d587,5,46.211268256947605,0
e885,5,45.722116981876496,0
k308,5,45.89359998993315,1
l986,5,46.09340608323889,1
d203,5,47.17542452175587,0
k294,5,49.425502549069144,1
p237,5,46.89723965141012,0
g863,5,44.24013983148221,0
q747,5,45.747825176132245,0
g305,5,46.375137595236126,0
o388,5,46.69204296969821,0
a333,5,45.61814557089883,0
t171,5,46.94372476176608,0
u867,5,46.37666667113112,0
x672,5,45.61293811368571,0
p642,5,48.32569866421057,0
q881,5,49.333039004777916,1
v933,5,49.16464398229693,1
h413,5,45.45152152051456,0
v547,5,45.503191760449944,0
w581,5,48.35884970855432,0
g185,5,46.82983090972264,0
e874,5,47.28688336832522,1
n872,5,49.22515349131366,0
i783,5,45.9579864598995,1
z881,5,38.75540362190611,0
w286,5,45.95796702722606,0
h491,5,46.97628046305092,0
a391,5,43.388121683790985,0
q300,5,39.53650789711388,0
t383,5,42.013420375702005,0
z487,5,47.23054980736923,0
e925,5,38.606762953752856,1
n115,5,45.573834775799966,0
v585,5,45.6274996173674,0
v490,5,39.78595151870132,0
o231,5,41.36631867405844,0
s882,5,46.9807954815073,0
u367,5,45.844971938536446,0
g727,5,45.67703370270966,1
i131,5,45.45161510228355,0
i162,5,38.48296092875909,0
n204,5,38.289994907747115,0
p298,5,45.61092535456254,1
e733,5,45.87907543217456,0
s231,5,47.75379851601264,0
b131,5,45.65819954887591,0
a906,5,45.6568946892621,0
r431,5,45.752141883209326,0
x736,5,40.241566690865106,0
e316,5,41.710573788827595,0
k944,5,39.38013028139939,0
d736,5,45.80798412918736,0
l868,5,45.644254492917625,0
e903,5,46.56842203158804,0
i799,5,48.1442685190531,0
w863,5,49.239289267389346,1
x877,5,45.57485061239416,1
n234,5,45.576923821947055,0
h162,5,46.11084448227555,0
m137,10,49.38556401602325,1
q335,10,46.12119099565691,1
j402,10,51.991529946953264,0
f178,10,48.0631460234904,1
i131,10,43.038029022271715,0
x672,10,47.940463423622354,1
e358,10,48.60351226002336,1
w901,10,51.81562398139011,0
i436,10,50.036464258258114,0
u281,10,41.455330558285084,0
y587,10,37.37300960616472,0
a189,10,39.513559529772486,0
z671,10,49.50622419457968,1
q290,10,49.464961802609835,0
p642,10,50.36197141876991,0
z167,10,46.96160762821381,1
e925,10,37.34850475548186,2
d770,10,51.370148090645856,1
i842,10,48.167531644745466,0
n115,10,46.0426779636913,0
l980,10,49.80495943375628,0
q154,10,46.37860944244491,1
r677,10,48.2930648561105,0
v921,10,50.21009488245448,0
q881,10,51.42083217129618,1
r846,10,50.30950284070142,0
y214,10,46.45754062216053,2
v596,10,50.06923061975578,1
a375,10,47.589008364651235,1
n451,10,48.06035502803029,0
e446,10,50.738448265730185,0
o388,10,49.06007720833414,0
t883,10,46.18263016545344,0
g832,10,51.0276830385883,0
q500,10,47.16493138639926,1
l795,10,49.68627754610854,1
j128,10,50.98742895428831,1
l451,10,50.48968039397739,1
a817,10,52.21621371324366,1
a538,10,50.805496003010276,0
x856,10,49.96404553353066,1
a333,10,47.545166512028196,1
t171,10,49.014129709337105,0
y531,10,51.34190931158129,1
o251,10,49.57002958606911,0
g305,10,47.86783836761307,0
b386,10,50.993506672933115,1
y441,10,47.45577460950905,0
e733,10,42.514594883033766,1
u452,10,41.74413077879515,0
t383,10,42.552024500405295,0
c965,10,53.184510845606106,1
p370,10,46.818407816004054,2
d497,10,52.43706767947256,1
u867,10,49.120012769959764,0
g284,10,47.57636407708201,1
q300,10,40.27289378059646,0
u540,10,49.36519959427645,1
r357,10,49.55769148086069,1
a898,10,50.193410197916656,1
c577,10,46.92367458008296,0
x669,10,50.749779623653225,1
c593,10,49.196149981990395,1
w658,10,46.972130823800086,1
u367,10,40.32412099835793,0
i491,10,49.13727292472216,1
e874,10,48.15601218832653,1
g787,10,48.57825043602939,1
o573,10,47.04996931344727,0
y369,10,48.645733454252756,1
i365,10,47.88723332201096,1
v747,10,49.53161163597429,0
z991,10,48.72340398760954,1
z435,10,50.47728430504285,1
k443,10,41.06661677527087,0
j640,10,50.36402609402005,1
r619,10,52.25021935398789,0
d791,10,49.37223397616037,1
o231,10,41.97760350534697,0
l127,10,48.10629224176968,0
d269,10,51.39121430162239,1
w900,10,47.46696294138333,0
i426,10,50.04013417823973,1
w833,10,48.48063648299441,1
f936,10,49.30846462420226,0
a906,10,46.247196238384625,0
z905,10,50.22604966778073,0
c160,10,51.12876551014996,1
y351,10,49.1019894649445,0
m672,10,47.61857846865562,0
g185,10,48.683739737430216,1
w976,10,51.381692193832826,1
v933,10,50.39181449304225,1
e316,10,42.18811782592556,0
w929,10,46.46893428063889,0
x144,10,49.63102926528491,0
q588,10,48.896391074273325,0
v547,10,46.78518571831102,0
p863,10,47.92029373124015,0
h162,10,49.42755954658791,1
h749,10,49.22007191738823,1
a960,10,49.9049224936307,0
h413,10,46.173980067147916,0
s882,10,49.31644234999283,0
v585,10,46.160464938401944,0
s886,10,48.59393234705823,1
p849,10,49.08322016825835,1
v490,10,40.30471021725181,1
l726,10,50.676594389516715,0
w581,10,50.03469523355372,0
b131,10,46.147619358727034,0
e681,10,48.065718082056314,1
i617,10,47.70717072859149,0
g727,10,46.2073317510141,2
x736,10,40.835554245980674,0
h124,10,49.42027187537393,0
g619,10,40.00501686211113,0
i419,10,41.49338179789722,0
z487,10,49.56908732907737,0
t548,10,51.97592083246235,0
i783,10,49.02128519702859,2
t419,10,49.28512432867018,1
n234,10,46.14620158318264,0
y860,10,49.32930765449725,0
n100,10,47.026284882597345,0
p734,10,48.26286033553419,0
g319,10,46.52879694606209,2
n196,10,38.76273912740077,0
d329,10,50.28224768948936,1
u964,10,47.097697244770345,1
o147,10,50.48600574039214,0
u861,10,40.90056537875165,0
o891,10,49.36724880510571,1
d203,10,49.26691298442509,0
x493,10,48.629631822357446,2
c760,10,47.60427198642558,0
o713,10,48.481059526471924,0
y977,10,49.407206525808064,1
w286,10,50.08574311773008,1
d824,10,51.10264085697176,0
j793,10,46.22812225896634,0
n204,10,33.16103004739397,0
l263,10,50.446903922855256,0
p407,10,49.60679240290808,1
f807,10,51.22601245787485,0
m853,10,48.29002868230175,2
s231,10,49.45248776775219,0
w860,10,50.0557376066067,1
m359,10,49.06895773956058,1
a831,10,48.170428768004236,0
y595,10,49.75777624654105,1
e882,10,52.11003070585176,0
n989,10,43.054598243816386,0
b461,10,51.47944153899,1
i799,10,48.67562546707062,1
l497,10,48.121603286336274,0
d736,10,46.99635828984029,0
f971,10,50.10724110883287,2
m272,10,46.84030371883782,1
u732,10,47.897053676771094,0
m894,10,48.079597937954105,0
n712,10,48.59849670056363,1
d581,10,50.17551734736455,1
l868,10,45.0194813532382,0
e885,10,48.53485479925571,0
g727,10,50.74608587171775,1
j396,10,48.613881751241,0
v871,10,53.381929832871116,1
y735,10,47.535532644503185,1
k308,10,48.13087052045894,1
q362,10,48.28843561074356,1
k294,10,50.12838828359711,1
m904,10,46.18835591375632,0
i583,10,48.95310152784761,1
o973,10,49.48628506214353,1
g863,10,45.02570542502782,0
x877,10,40.851556256630275,2
z881,10,39.242574103726746,0
a391,10,43.85168944232706,0
n872,10,51.55574443820655,0
t982,10,46.43845066284922,0
a885,10,48.298411214926084,0
h491,10,50.32053111712824,0
y633,10,46.91820678269164,1
x811,10,51.4885474134753,0
b853,10,45.97445606849395,0
h920,10,50.06668310438073,1
o836,10,49.08030618941476,0
k944,10,34.26523348044806,0
q747,10,46.671146290113136,1
p298,10,43.95105666279589,2
r431,10,45.19724836533421,0
b998,10,50.46827301776611,0
f195,10,47.24829453685338,0
m285,10,49.136606656204826,0
p368,10,50.31779686928378,0
q131,10,48.409896380845595,1
e903,10,47.74455482874679,0
u683,10,53.93425786581021,0
k465,10,48.8403976312334,1
n939,10,49.83252129135683,0
p237,10,49.601478085553445,0
n125,10,46.316315518970704,0
k405,10,49.56472957174268,2
z701,10,46.96837601449207,2
x903,10,39.30304364650257,0
q278,10,44.954938507917106,0
l183,10,46.951016495967686,1
e141,10,49.42851646091906,0
w680,10,46.35297957106073,1
i162,10,34.463012139240064,1
j993,10,48.12108656670266,0
e141,15,50.040070346331,0
e681,15,52.54689934168621,1
g727,15,47.106452911475415,2
r619,15,53.82774962954813,1
t548,15,55.928441638433675,1
v747,15,52.154604055228745,0
w860,15,52.0762952972487,1
k465,15,50.17790954991447,1
p407,15,51.111048420651215,1
k443,15,34.95860738246631,0
s231,15,50.29320836021154,0
m904,15,47.10251446905617,0
m285,15,53.05899526635055,0
j793,15,46.78788566847793,0
y595,15,53.97988886665504,1
t419,15,50.608536442849044,1
d269,15,53.08748096770145,1
a189,15,34.51802203038017,0
x669,15,55.516689334275654,1
c593,15,51.378485845556746,1
o147,15,52.78262328369138,0
i426,15,53.58414529441161,1
r431,15,38.429627760827806,0
o573,15,48.34366543927462,1
i783,15,51.536158183922645,2
f807,15,52.15227761239258,0
a831,15,51.36952583848752,0
q131,15,50.28769714465975,1
v596,15,54.94308611905553,1
w901,15,52.95945541530144,0
d497,15,54.311550327294505,2
g284,15,48.274154375740046,1
e903,15,49.406643510159974,0
j402,15,56.63689850720378,0
g319,15,48.12095516903658,3
p370,15,48.92191550464218,3
i162,15,30.158408983971405,1
u683,15,57.84187163360998,0
e733,15,38.22431785008199,1
o251,15,50.31912586021199,0
w900,15,49.54419022633317,0
h920,15,52.235162745071754,2
p298,15,44.5918497084881,2
z701,15,51.12981086878153,2
l795,15,53.118769285991334,1
a817,15,54.37600600799453,1
m672,15,49.0665283304929,1
n125,15,46.82886480860066,0
j993,15,51.46162440713286,1
w929,15,47.10574210635741,0
i131,15,43.67598371897204,0
m137,15,51.001734464038044,1
y977,15,51.53664912237234,2
g619,15,39.593025677594234,0
n204,15,32.54081177324137,0
q588,15,52.79305614170417,0
y214,15,44.99114482320693,2
s886,15,49.55938257549325,1
q362,15,49.55074668481098,1
s882,15,53.716331201516404,0
h749,15,49.798027704374,1
u367,15,39.066433600422904,0
c577,15,48.54811153329599,1
u861,15,40.41950493115558,0
b131,15,46.782025074746386,0
v871,15,54.88461639437314,2
y860,15,51.445923749165345,0
r357,15,50.953609638817255,1
a898,15,52.96038671457928,2
r677,15,50.53597325990624,0
u964,15,50.40465964964154,1
q154,15,40.86067128845818,1
q290,15,50.31489001589519,1
z881,15,39.931110899776705,0
d770,15,53.07292934887347,2
c760,15,48.80176782705731,1
i617,15,48.81854933833213,0
a538,15,54.3293213231003,0
t883,15,47.904030439755964,0
i419,15,39.11353789546175,0
g305,15,49.608824508948146,0
u452,15,37.460831739488384,0
t383,15,43.369481789380124,0
l868,15,43.07941096653548,0
c965,15,55.69491509385219,2
n872,15,53.07909925251213,0
u867,15,50.29069465785997,0
y441,15,49.72074184612119,0
f971,15,51.672974396541456,3
i436,15,54.923928296147324,0
m894,15,52.210035165472064,1
n451,15,51.181794904037375,0
q300,15,40.81699515197718,1
i799,15,50.15421954440535,1
a375,15,50.98458926619678,2
x672,15,48.629997746616304,1
e358,15,53.2842283532272,1
f178,15,51.053890226682306,1
y587,15,33.7554267912536,1
r846,15,53.037184886108086,0
p642,15,51.62420521718151,0
z671,15,52.5235243544396,1
x736,15,41.355162219846974,0
n115,15,46.71623436641213,0
u281,15,42.252350905816336,0
i842,15,50.20750952878317,0
n989,15,43.52216701952641,1
m853,15,52.558263363849264,3
y531,15,52.09463476961463,1
a333,15,48.461629487956984,1
b461,15,53.462371726491845,1
k294,15,52.0046679530425,1
i583,15,52.71285356836347,2
q278,15,40.37582399450997,0
h491,15,54.209935689351845,0
w680,15,46.974688290964856,1
j128,15,52.84987878493227,1
o973,15,51.66988432380136,1
a885,15,50.14018766697622,0
y633,15,51.140115369178446,2
b998,15,54.7775562855269,0
x811,15,52.73844521854471,0
q747,15,47.845230375094275,1
f195,15,49.35114921238021,0
d581,15,51.28611946430535,2
q500,15,51.34832569347151,2
n939,15,50.4839257568299,0
d329,15,51.581735367013025,1
k944,15,34.85804699138236,0
o891,15,52.683753273100365,2
w286,15,52.90814761482667,2
l183,15,48.0887659131149,1
o388,15,51.338279212315484,0
e446,15,53.215233364801584,0
d203,15,50.39809327533815,1
p734,15,51.06093980118725,0
g832,15,53.50390494559889,1
a391,15,41.54703533127059,1
l451,15,51.8522254342817,1
g863,15,44.48756815427105,1
v921,15,51.077129387448636,0
l980,15,51.03397315570383,0
w976,15,53.180307279574215,2
m359,15,49.98511576118739,1
x493,15,50.90390610136246,2
y351,15,49.8303352591836,1
w658,15,49.69752929309486,2
z487,15,51.6059893286555,0
m272,15,49.43720636924057,1
k405,15,50.896802235366856,2
i491,15,49.859810514121726,1
e874,15,49.67622452467244,2
y369,15,50.82031349129944,1
v585,15,46.76479856238879,0
z435,15,52.497753540829486,1
x877,15,38.69799942072708,2
j640,15,53.48674121881019,2
n712,15,51.213097927375514,1
x903,15,38.2797260746102,0
z991,15,50.65699241952898,2
o231,15,42.52500945738114,0
i365,15,52.54212701294776,2
b853,15,47.82891689960402,0
l127,15,49.27680174819937,0
t982,15,50.790894241451895,0
n234,15,46.887847514564655,0
f936,15,51.56248040004217,0
w833,15,49.807955022216895,1
c160,15,54.256387334295205,1
a906,15,46.89008923257924,0
g185,15,49.37624263364185,1
o713,15,49.28511536023011,0
l263,15,53.965150934271406,0
h124,15,50.126467735865475,0
n196,15,37.38226859858328,1
d736,15,50.64042040223969,0
v490,15,41.047523034203444,1
p863,15,49.41139000390851,0
a960,15,51.120302404526655,0
j396,15,50.8582986824664,0
e316,15,40.82588351805158,0
n100,15,47.65826915337739,1
p849,15,50.86967387941337,2
w581,15,51.12775435364538,0
v547,15,48.117723182073114,0
l726,15,51.91336201865136,1
h413,15,46.758810560537846,0
u732,15,50.237224379582145,0
g787,15,50.0608390346751,1
e882,15,56.19803578809245,1
b386,15,53.119146930294065,1
h162,15,52.477920692362034,1
u540,15,50.41127159909705,1
q881,15,55.065964400339986,2
v933,15,54.25150328191411,2
x144,15,53.39461590641449,0
j128,20,54.59151346315116,1
n196,20,35.52749554234954,1
b853,20,49.253805217079986,0
c760,20,50.611157239479326,1
x877,20,37.03750665015994,2
d329,20,55.13925250634553,1
l868,20,38.884784664065876,1
u683,20,60.288302280858964,0
d203,20,54.871528833518674,1
y860,20,53.736646933005154,0
x493,20,51.63303549422223,2
b461,20,58.28556069177621,2
j396,20,54.1257414401721,0
k405,20,53.216746708913426,2
u861,20,36.616132198092785,0
z881,20,40.687132544917375,0
w860,20,53.75178941495988,1
m359,20,54.73402885775097,1
a906,20,41.159515302751544,1
k294,20,52.77671165575244,1
v933,20,56.49970007462383,2
c577,20,50.98207340410788,1
s886,20,51.50041672067101,1
e316,20,41.308638654463486,0
g787,20,52.61705018078368,1
w581,20,54.09425938067551,0
h413,20,44.72157509055728,0
m904,20,49.898663473248625,0
e681,20,54.55219059004344,1
g185,20,50.627769646765245,1
a885,20,51.59256123639196,1
y214,20,45.74416225012197,2
e874,20,52.58717726015071,2
x669,20,57.573463232755536,1
p298,20,45.10289546731553,2
j640,20,54.39088899339838,3
s231,20,51.7306934912783,0
t419,20,54.91356306482236,1
i365,20,53.074862293127275,2
z991,20,52.24756434663358,2
f936,20,52.43640987150239,1
w900,20,53.80323389076899,1
y351,20,53.67724842052085,2
g619,20,36.02357540537433,0
b131,20,41.42656101006172,0
q290,20,51.87473886864588,2
q747,20,49.491068714608296,1
h920,20,54.562271973958396,3
x811,20,54.716981808787594,0
j402,20,58.06879068297193,0
y633,20,51.72647374428812,2
o388,20,55.20562965924331,0
m672,20,50.846439850648565,1
a817,20,57.256816500345145,1
k944,20,30.121685063840644,0
w901,20,53.79431202439138,0
g863,20,45.188809988124554,1
a333,20,50.605413922062915,1
a538,20,58.85948791133809,1
y587,20,29.12468771893741,1
a189,20,35.00944649105512,0
e733,20,38.665299023132604,1
u867,20,52.95287905920776,0
y441,20,54.16602375284894,0
g305,20,50.77065910654162,0
d497,20,55.27653156637975,3
x672,20,50.02226891781145,1
i842,20,51.44012408183187,1
q881,20,56.06927723259838,2
m137,20,51.90596400146898,2
x736,20,40.346613409613326,0
l795,20,55.16074808571126,1
h124,20,53.504593186515095,0
